[2025-08-03T11:20:05.076Z] INFO: Request Method: GET, Request URL: /api/products/
[2025-08-03T11:21:05.867Z] INFO: Request Method: PUT, Request URL: /api/products/6852e685b6e17be603789c6b
[2025-08-03T11:21:18.571Z] INFO: Request Method: PUT, Request URL: /api/products/6852e685b6e17be603789cb
[2025-08-03T11:21:51.076Z] INFO: Request Method: GET, Request URL: /api/products/
[2025-08-03T11:22:16.187Z] INFO: Request Method: GET, Request URL: /api/products/
[2025-08-03T11:22:28.403Z] INFO: Request Method: POST, Request URL: /api/products/
[2025-08-03T11:24:14.318Z] INFO: Request Method: GET, Request URL: /api/products/
[2025-08-03T11:24:19.552Z] INFO: Request Method: POST, Request URL: /api/products/
[2025-08-03T11:28:35.351Z] INFO: Request Method: POST, Request URL: /api/products/
[2025-08-03T11:28:44.784Z] INFO: Request Method: GET, Request URL: /api/products/
[2025-08-03T11:29:00.501Z] INFO: Request Method: GET, Request URL: /api/products/6852d420ef50abdfc347e31b
[2025-08-03T11:29:14.300Z] INFO: Request Method: PUT, Request URL: /api/products/6852d420ef50abdfc347e31a
[2025-08-03T11:30:03.497Z] INFO: Request Method: POST, Request URL: /api/products/6852d420ef50abdfc347e31a
[2025-08-03T11:30:26.166Z] INFO: Request Method: POST, Request URL: /api/products/
[2025-08-03T11:30:32.882Z] INFO: Request Method: GET, Request URL: /api/products/
[2025-08-03T11:30:42.032Z] INFO: Request Method: GET, Request URL: /api/products/
[2025-08-03T11:30:49.150Z] INFO: Request Method: POST, Request URL: /api/products/
[2025-08-03T11:34:51.193Z] INFO: Request Method: POST, Request URL: /api/products/
